Skills,Experience,Location,Graduation ,Post Graduation 
Healthcare Management,1,Austin,Bachelor's,Master's
Patient Care,2,New York,,
Digital Marketing,3,Wichita,,
SEO,4,Boston,,
React Js,5,Chicago,,
Business Administration,6,Miami,,
Entrepreneurship,7,San Francisco,,
Business Strategy,8,Fresno,,
Project Management,9,Raleigh,,
Agile,10,Louisville,,
Scrum,11,Charlotte,,
Python,12,Philadelphia,,
SQL,13,Cheyenne,,
Hadoop,14,Columbus,,
Marketing,15,Houston,,
Market Research,16,Madison,,
Brand Management,17,New Orleans,,
Java,18,Los Angeles,,
Content Marketing,19,Dallas,,
Google Analytics,20,Denver,,
Social Media,,Detroit,,
Software Testing,,Tucson,,
QA,,Cleveland,,
Automation,,Albuquerque,,
Software Engineering,,Omaha,,
C++,,Tampa,,
DevOps,,Salt Lake City,,
Human Resources,,El Paso,,
Recruitment,,Syracuse,,
Employee Relations,,Memphis,,
Agribusiness,,Atlanta,,
Farm Management,,Buffalo,,
Crop Production,,Milwaukee,,
Public Relations,,Minneapolis,,
Media Outreach,,Anchorage,,
Press Releases,,Seattle,,
Software Development,,"Gurugram, India",,
JavaScript,,"Bengaluru, India",,
Mechanical Engineering,,"Gurugram, India",,
CAD,,"Gurugram, India",,
SolidWorks,,"Pune, India",,
Veterinary Medicine,,"Noida, India",,
Animal Care,,"Mumbai, India",,
Surgery,,"Chennai, India",,
Django,,"Gurugram, India",,
Sociology,,"Hyderabad, India",,
Social Research,,"Gurgaon, NCR",,
Community Outreach,,Delhi,,
UX/UI Design,,"Gurgaon, NCR",,
Figma,,Noida,,
Adobe XD,,"Gurgaon, NCR",,
Cybersecurity,,NCR Region,,
Network Security,,"Gurgaon, NCR",,
Ethical Hacking,,Delhi,,
Full Stack Development,,Noida,,
Docker,,"Gurgaon, NCR",,
Data Science,,"Taylor, TX",,
Machine Learning,,,,
Psychology,,,,
Counseling,,,,
Behavioral Analysis,,,,
Environmental Science,,,,
Sustainability,,,,
Conservation,,,,
Data Analysis,,,,
Data Engineering,,,,
Business Analysis,,,,
Data Visualization,,,,
Astrophysics,,,,
Cosmology,,,,
Space Research,,,,
Telecommunications,,,,
VoIP,,,,
Network Design,,,,
Geology,,,,
Petrology,,,,
Paleontology,,,,
Mobile App Development,,,,
Swift,,,,
Kotlin,,,,
Web Development,,,,
Urban Studies,,,,
Regional Planning,,,,
Sustainable Development,,,,
Electrical Engineering,,,,
Circuit Design,,,,
PCB Layout,,,,
Oceanography,,,,
Marine Science,,,,
Coastal Management,,,,
Financial Analysis,,,,
Risk Management,,,,
Portfolio Management,,,,
Graphic Arts,,,,
Digital Illustration,,,,
Printmaking,,,,
Sales,,,,
Account Management,,,,
CRM Systems,,,,
Excel,,,,
Communication Skills,,,,
Leadership Skills,,,,
.NET Core,,,,
Cloud Native,,,,
Microservices,,,,
Azure,,,,
API Design,,,,
Solutions Architect,,,,
Solution Architect,,,,
Spring Boot,,,,
AWS,,,,
Cloud Architecture,,,,
API Development,,,,
Communication Protocols,,,,
Product Design,,,,
Scalability,,,,
High Availability Systems,,,,
PHP,,,,
MySQL,,,,
REST APIs,,,,
Cloud Computing,,,,
API Integration,,,,
API Management,,,,
Ruby on Rails,,,,
PostgreSQL,,,,
C#,,,,
Dynamics 365 CE/CRM,,,,
SQL Server,,,,
Power Apps,,,,
Microsoft Dynamics,,,,
MS Dynamics,,,,
D365,,,,
CRM,,,,
Pipeline,,,,
Pipelines,,,,
Azure Data Factory,,,,
Git,,,,
GitHub,,,,
Flow,,,,
Flows,,,,
ODATA,,,,
MVC,,,,
Azure SQL,,,,
CRM SDK,,,,
Microsoft Flows,,,,
ETL,,,,
Azure Logic,,,,
Scribe Online,,,,
CRM API,,,,
DevOps Pipelines,,,,
CRM Plugin Development,,,,
Java/J2EE (Java 17+),,,,
HTML,,,,
CSS,,,,
JQuery,,,,
JSP,,,,
Spring,,,,
Struts2,,,,
ORM,,,,
Hibernate,,,,
RDBMS,,,,
Oracle PL/SQL,,,,
OOPS principles,,,,
Java application development,,,,
Performance optimization,,,,
Self-starter,,,,
Team-player,,,,
Problem solving,,,,
Linux,,,,
Maven,,,,
Jenkins,,,,
Jasper,,,,
JUnit,,,,
ParamQuery,,,,
PQGrid,,,,
Jasper Reports,,,,
Tomcat,,,,
JBoss,,,,
Docker Containers,,,,
